iter	RMSE
0	0.2373459988
1	0.2363726902
2	0.2358179623
3	0.2353341716
4	0.2347466925
5	0.2342769879
6	0.2337462167
7	0.2331832568
8	0.232691913
9	0.2321424027
10	0.2314349304
11	0.2307717079
12	0.2299352959
13	0.2293675511
14	0.2287002777
15	0.2281717084
16	0.2277650334
17	0.2271756318
18	0.2264048386
19	0.2259065587
20	0.2254903073
21	0.2247789725
22	0.2242393897
23	0.2234472789
24	0.2227977131
25	0.2223606543
26	0.2218710375
27	0.2213405335
28	0.2207179254
29	0.2201825586
30	0.2194299475
31	0.2187988191
32	0.2182533481
33	0.2174180765
34	0.2168312727
35	0.2165523881
36	0.2159476995
37	0.2156358291
38	0.2154585652
39	0.2147906784
40	0.2141854968
41	0.213748308
42	0.213221679
43	0.2125505045
44	0.2123353659
45	0.2118179972
46	0.2114609068
47	0.2109757467
48	0.2100591201
49	0.2095154558
50	0.2090898978
51	0.2086423385
52	0.2080858708
53	0.2076470868
54	0.2071512409
55	0.2064183059
56	0.2060241209
57	0.2052680942
58	0.2048488534
59	0.204547669
60	0.2039492648
61	0.2036095671
62	0.2029408244
63	0.2023310486
64	0.201716426
65	0.2009483973
66	0.2003712804
67	0.1995281031
68	0.1991165777
69	0.1984004462
70	0.1976437573
71	0.1969771122
72	0.1963228275
73	0.1959536878
74	0.1954203541
75	0.1950566897
76	0.1946162655
77	0.194160918
78	0.1935697229
79	0.1931949034
80	0.1926600351
81	0.1922262952
82	0.1918735165
83	0.1913153053
84	0.190887069
85	0.1901741095
86	0.1897893507
87	0.1892915262
88	0.1888168358
89	0.188483822
90	0.1880452945
91	0.187628011
92	0.1869886897
93	0.1865453288
94	0.186148433
95	0.1856997581
96	0.1850875491
97	0.1844146618
98	0.1840539021
99	0.1836464678
100	0.1831492964
101	0.1825698816
102	0.182073054
103	0.1818326618
104	0.1814807521
105	0.1809192327
106	0.1803110867
107	0.1797512009
108	0.1792259653
109	0.1789924994
110	0.1785317735
111	0.177967371
112	0.1775685136
113	0.1768781317
114	0.1761255021
115	0.175695913
116	0.1753018802
117	0.1749856122
118	0.174379397
119	0.1738970611
120	0.1733396017
121	0.1730617583
122	0.1726115902
123	0.1719202127
124	0.1715872816
125	0.1709720836
126	0.1705068562
127	0.1701465307
128	0.1699890639
129	0.1693710951
130	0.1687607831
131	0.1684258433
132	0.1681543965
133	0.1679259876
134	0.1675626214
135	0.1671054278
136	0.1665681013
137	0.1661398647
138	0.1657052249
139	0.1654670499
140	0.1649781757
141	0.1645142516
142	0.1641913841
143	0.1637520108
144	0.1632766511
145	0.162839751
146	0.1623078439
147	0.1616975158
148	0.1614435253
149	0.1609037744
150	0.1603999219
151	0.1598639742
152	0.1596445471
153	0.1593997077
154	0.1591006439
155	0.1587078398
156	0.1583000011
157	0.1577838429
158	0.1574338301
159	0.1568375821
160	0.1564901614
161	0.1561472367
162	0.1556401267
163	0.1552254643
164	0.1549013256
165	0.1545840629
166	0.1541780953
167	0.1536684226
168	0.153210767
169	0.1527399885
170	0.1523728236
171	0.1519190312
172	0.1515158981
173	0.1512209338
174	0.1509161879
175	0.1504883994
176	0.1501242497
177	0.1497767076
178	0.1493430848
179	0.1488762102
180	0.1483808298
181	0.1480037113
182	0.14751411
183	0.1472150992
184	0.1468232366
185	0.1464645432
186	0.1462387594
187	0.1456807483
188	0.1451774666
189	0.144806498
190	0.14445583
191	0.1442113373
192	0.1437194525
193	0.143400663
194	0.1430904799
195	0.1427082615
196	0.1425344971
197	0.142219867
198	0.1418920492
199	0.1415178282
200	0.1409790556
201	0.1406490422
202	0.1401720146
203	0.1399298505
204	0.1394933427
205	0.1392088245
206	0.138764948
207	0.1383059031
208	0.1379235915
209	0.137467072
210	0.1370228597
211	0.1368314377
212	0.1364314087
213	0.1361882703
214	0.1358024846
215	0.1353873558
216	0.1351337715
217	0.1347929483
218	0.1344323324
219	0.1341514051
220	0.1338745486
221	0.1335221105
222	0.1332206967
223	0.1329563911
224	0.1326086762
225	0.1322456334
226	0.1319847592
227	0.1316250902
228	0.1312596442
229	0.130904668
230	0.1305196314
231	0.1301162933
232	0.1298798074
233	0.1294341679
234	0.1290431525
235	0.1286973439
236	0.128273684
237	0.1277760567
238	0.1274759896
239	0.1270490302
240	0.1267790096
241	0.1265361124
242	0.1263355997
243	0.1258072005
244	0.1254983461
245	0.1251881335
246	0.1247288031
247	0.1244262285
248	0.124008882
249	0.1237447184
250	0.1233711083
251	0.1230079982
252	0.122676756
253	0.1224457186
254	0.1221288959
255	0.1217510218
256	0.1215588814
257	0.1212449009
258	0.1209174289
259	0.1206275165
260	0.1202803634
261	0.1198583128
262	0.1194631038
263	0.1191186157
264	0.1188216787
265	0.1186135835
266	0.1182957004
267	0.1179260239
268	0.1175475458
269	0.117191506
270	0.1168764982
271	0.1166348847
272	0.1163231255
273	0.115984069
274	0.1156865693
275	0.1153058257
276	0.1150260555
277	0.1147134861
278	0.1142707152
279	0.1140052075
280	0.113626281
281	0.1132989415
282	0.1128506543
283	0.112555858
284	0.1119923114
285	0.1116378914
286	0.111276373
287	0.1110570933
288	0.1107530711
289	0.1105104003
290	0.1101720132
291	0.1099057142
292	0.1096187598
293	0.1093888188
294	0.1090799345
295	0.108741618
296	0.1084221944
297	0.108106001
298	0.1076526294
299	0.1073183191
300	0.1069099379
301	0.1065354123
302	0.1062142035
303	0.1059616382
304	0.1056085083
305	0.1052235597
306	0.104940217
307	0.1046820014
308	0.104325663
309	0.1040680921
310	0.1037418732
311	0.1035629303
312	0.1032812477
313	0.1028528404
314	0.1025711093
315	0.1021895562
316	0.1020150639
317	0.1017321737
318	0.1012921874
319	0.1010163733
320	0.1006572554
321	0.1003559999
322	0.1000196641
323	0.09964942067
324	0.09935068947
325	0.09907085632
326	0.09879494798
327	0.09843579146
328	0.0980844776
329	0.09758783384
330	0.0972680761
331	0.09676204986
332	0.09661434315
333	0.09636275803
334	0.0961395812
335	0.09576317801
336	0.09541073529
337	0.0951295218
338	0.09484312433
339	0.09455740906
340	0.09425427191
341	0.09397105205
342	0.09372670529
343	0.09344819072
344	0.09294818405
345	0.09271449386
346	0.09234202491
347	0.09198549297
348	0.09174951715
349	0.09141576464
350	0.09106362685
351	0.09074631712
352	0.09046374851
353	0.09008623155
354	0.08970128181
355	0.08940210812
356	0.089179721
357	0.08890407146
358	0.0886398577
359	0.08831465376
360	0.08810896639
361	0.08774688412
362	0.08750382866
363	0.08727771598
364	0.08704361214
365	0.08683447103
366	0.08661579617
367	0.08624832526
368	0.08598667438
369	0.08567135561
370	0.08539876954
371	0.08509037068
372	0.08483384914
373	0.08453420742
374	0.08427655134
375	0.08401556659
376	0.083725572
377	0.0835418741
378	0.08333383441
379	0.08313793678
380	0.08296023203
381	0.08272947873
382	0.08236731264
383	0.08210555487
384	0.08176508777
385	0.08153504814
386	0.08129424551
387	0.08100441151
388	0.08078252851
389	0.08059269071
390	0.08037287319
391	0.08009251014
392	0.07975819695
393	0.0793916554
394	0.079233995
395	0.07914115091
396	0.07877447933
397	0.07853752911
398	0.07822852805
399	0.07793601002
400	0.0776775269
401	0.07742502941
402	0.07727647132
403	0.07715753353
404	0.076958079
405	0.07669527446
406	0.07650609018
407	0.07631531323
408	0.07608669463
409	0.07579402806
410	0.07555347637
411	0.07534171372
412	0.07515888867
413	0.0749222683
414	0.0747351567
415	0.07459277499
416	0.07440026482
417	0.07425691417
418	0.07407556813
419	0.07384596834
420	0.07360640484
421	0.07339353724
422	0.07311120401
423	0.07283109148
424	0.07258388026
425	0.07245338707
426	0.07214915674
427	0.07196414776
428	0.07176881862
429	0.0715482824
430	0.07143387507
431	0.07123246528
432	0.07108358069
433	0.07086341352
434	0.07055843937
435	0.07037507541
436	0.07014027693
437	0.06993553468
438	0.06982089455
439	0.06968576578
440	0.0695168103
441	0.06931931486
442	0.06906174357
443	0.06887048795
444	0.06870084746
445	0.06853154011
446	0.06832318391
447	0.06803823379
448	0.06784927399
449	0.06766463766
450	0.0674593947
451	0.06717420811
452	0.06692449829
453	0.06666985981
454	0.06645070686
455	0.0662105269
456	0.06602335671
457	0.06578883597
458	0.0655549659
459	0.06532995774
460	0.06515513057
461	0.06502794065
462	0.06481406467
463	0.06461536152
464	0.06437273387
465	0.06424966757
466	0.06407335994
467	0.06382454702
468	0.06363560905
469	0.0634436561
470	0.0633074402
471	0.06315410941
472	0.06290978621
473	0.06269275704
474	0.06250829483
475	0.06223747893
476	0.06214228839
477	0.06188403677
478	0.06169440013
479	0.06150999539
480	0.0613137541
481	0.0611292155
482	0.06089824258
483	0.06076723819
484	0.0605362836
485	0.06031099917
486	0.0601957815
487	0.05994145481
488	0.05978550399
489	0.05964181102
490	0.05943467797
491	0.05928188256
492	0.05910485407
493	0.0589723596
494	0.05876605378
495	0.05861828849
496	0.05841610907
497	0.05825982531
498	0.05819415745
499	0.05803483287
500	0.05788046676
501	0.05768130056
502	0.05744710867
503	0.05729182986
504	0.05705268194
505	0.05685295634
506	0.05666486264
507	0.05650496144
508	0.05641964348
509	0.05631627474
510	0.05619278733
511	0.05603145376
512	0.05586593792
513	0.05570065039
514	0.05550317481
515	0.05531746368
516	0.05506229064
517	0.05489944109
518	0.05468746402
519	0.05449839266
520	0.05433275887
521	0.05415019666
522	0.05403158438
523	0.05384641499
524	0.05372034861
525	0.05353582887
526	0.05332397995
527	0.05315498342
528	0.05299530418
529	0.05285660603
530	0.05275878696
531	0.05258022629
532	0.05240557441
533	0.05225433287
534	0.05213636171
535	0.05196513728
536	0.05188189268
537	0.05173047277
538	0.05151247784
539	0.05129209605
540	0.05111620992
541	0.05091176762
542	0.05077565684
543	0.05067837845
544	0.05059616583
545	0.05045527324
546	0.05031989189
547	0.05016979548
548	0.05001435587
549	0.04989233917
550	0.04973090959
551	0.04964861959
552	0.04951175596
553	0.04938515036
554	0.04917244383
555	0.04901783676
556	0.04888795411
557	0.04873834314
558	0.04863624487
559	0.04845793889
560	0.04822905363
561	0.04807357067
562	0.0479339588
563	0.04775367458
564	0.04759383473
565	0.04748142145
566	0.04734866706
567	0.04722297071
568	0.04712158484
569	0.04693011958
570	0.04679850025
571	0.0466629194
572	0.04652810093
573	0.04644443853
574	0.04634649459
575	0.04626216574
576	0.04615159516
577	0.04599439345
578	0.04588463684
579	0.04570397218
580	0.0455660165
581	0.04544426925
582	0.04532792847
583	0.0452251476
584	0.04507021404
585	0.04500091282
586	0.04486357977
587	0.04470837529
588	0.04454643559
589	0.04445235796
590	0.04432632501
591	0.04416787638
592	0.0439787089
593	0.04388995956
594	0.04372837171
595	0.04363117759
596	0.04350809028
597	0.04338809207
598	0.04323858926
599	0.0431504985
600	0.04302273784
601	0.04287332488
602	0.04273114937
603	0.04262023657
604	0.0424942486
605	0.04240280689
606	0.04231570794
607	0.04218972617
608	0.04204718878
609	0.04189265766
610	0.04177509634
611	0.04159226645
612	0.04147449584
613	0.04132174483
614	0.04120800574
615	0.04105544921
616	0.04094175475
617	0.04081244625
618	0.04069194932
619	0.04057956712
620	0.04042660728
621	0.04032941557
622	0.04023284373
623	0.04013634679
624	0.04000223125
625	0.03988494967
626	0.03973787715
627	0.03957862629
628	0.03940846217
629	0.03933785651
630	0.0392243245
631	0.03911491759
632	0.03900201308
633	0.0388886527
634	0.03876203422
635	0.03867196696
636	0.0385198658
637	0.03838458358
638	0.03827804109
639	0.0381341154
640	0.03800725142
641	0.03789808592
642	0.03773457505
643	0.03761155492
644	0.0375284104
645	0.0373874959
646	0.03728859525
647	0.03713932965
648	0.03704972469
649	0.03690245386
650	0.03681672991
651	0.0366963321
652	0.03659120723
653	0.03646451271
654	0.03638583399
655	0.03628612872
656	0.03618837818
657	0.03607791975
658	0.03594533435
659	0.03584955697
660	0.03576047641
661	0.03567915927
662	0.0355754286
663	0.03541544537
664	0.03532201137
665	0.03524286605
666	0.03509699848
667	0.03504718543
668	0.03495435994
669	0.0348285785
670	0.03472833163
671	0.03466388566
672	0.03453349051
673	0.03441494843
674	0.0343043731
675	0.03423262094
676	0.03411937215
677	0.03402180082
678	0.03394264999
679	0.03387522357
680	0.03374737403
681	0.0335992888
682	0.03352810325
683	0.03342259473
684	0.03331035252
685	0.03320798743
686	0.03311117422
687	0.03298993041
688	0.03287587207
689	0.0327614452
690	0.03267607091
691	0.03257742949
692	0.03250216652
693	0.03240859531
694	0.032311137
695	0.03223169167
696	0.03214567146
697	0.03203264516
698	0.03194958701
699	0.03185839326
700	0.03174192432
701	0.03167603788
702	0.0315830754
703	0.03147721322
704	0.03138717266
705	0.03130407278
706	0.03122736812
707	0.03113379275
708	0.03107393781
709	0.03097541668
710	0.03085056012
711	0.03075338913
712	0.03066945934
713	0.03056684443
714	0.03045021713
715	0.03036172999
716	0.03027963676
717	0.03017955328
718	0.03011313599
719	0.03003695605
720	0.02997052659
721	0.02988164622
722	0.02979937707
723	0.02972729476
724	0.02965534197
725	0.02957075305
726	0.02947776432
727	0.02941364667
728	0.02932399624
729	0.02924002986
730	0.02914201683
731	0.02908629162
732	0.02899758686
733	0.02893754462
734	0.02882919882
735	0.02875445438
736	0.02864661017
737	0.02853840106
738	0.02843517439
739	0.02836173949
740	0.02827615108
741	0.02816138704
742	0.02807778989
743	0.02800645725
744	0.02793316784
745	0.02784986405
746	0.02776520219
747	0.02767617061
748	0.0275864609
749	0.02751243175
750	0.02742393167
751	0.02737586481
752	0.02731795821
753	0.02720974816
754	0.02713884831
755	0.02702297491
756	0.02697447032
757	0.02689534948
758	0.02682344727
759	0.02670519052
760	0.02663183471
761	0.02654640607
762	0.02651970317
763	0.02643956899
764	0.02636188339
765	0.02627948236
766	0.0262023554
767	0.02613783677
768	0.02605932351
769	0.02600401147
770	0.02592068191
771	0.0258359542
772	0.02575946949
773	0.0256790272
774	0.02559985602
775	0.02555288695
776	0.02547204735
777	0.02539692127
