"Genotype","Epsib","Ict","MGR_init","plasto_init","phyllo_init","ligulo_init","leaf_length_to_IN_length","SLAp"
"BimbG",9.17265520540675,2.49132108065759,8.06601655935661,31.9999521450867,40.4856620524447,43.5554976788482,0.0670743350239472,17.730999761024
"CSM335",9.62945835496695,2.36801868114983,8.13130161082229,29.0419092129636,40.3004130433,43.3292371638012,0.102629994014523,14.7716576439912
"CSM388",9.80482319092614,2.5760984272396,8.11751947888244,28.3285393567697,40.0411629096862,43.2568653064803,0.0931682588695205,13.2804236378689
"CSM63E",8.4648850584018,2.26084158757668,7.87505215225887,27.479472021772,40.3572780350317,42.6734617162225,0.108524984580287,13.1692170041559
"CSM660",9.10834016989714,2.2519144908838,8.02454070812498,28.7659360220597,38.5849163723242,42.5306913831845,0.0900740790174625,14.0816500825134
"Framida",11.0324478888748,2.44914334387531,9.41801516080774,28.4641262864454,40.6246113936498,42.7485858589957,0.113665658863316,39.1584254994749
"Gnossiconi",8.99108738321505,2.44297540532242,8.03086702011028,28.2907295598068,39.0792602077884,42.2677716530157,0.0888732974411073,16.1744730054191
"Grinkan",10.5002962805811,2.71900463111991,8.87863690723276,27.4247918065885,42.939802478868,44.5967741035909,0.0720410115809315,26.895328656833
"ICSV745",10.066693085359,2.80594185386363,8.83102284333985,27.7196560166925,39.7822427074794,42.5230853716035,0.104199707603042,29.6623206911649
"IRAT204",10.3834901684377,2.56526951538347,9.09703756531491,27.8895633050397,40.5576255266285,42.7039201633951,0.100597133913401,28.6580146022526
"IS10801",9.84397836832286,2.58380292315945,8.50823345244981,27.1037307292248,39.0107799736102,43.3094034378909,0.173605229312132,24.9411357748954
"IS10876",11.3273732128128,2.71314045625386,9.6009183253981,29.2690995510255,40.3806845193586,42.7825661318807,0.108074637217978,34.2272846888773
"IS10882",10.3306790295028,2.66224627400662,8.73935230826768,28.6411846266946,40.5492112184126,42.9341212574362,0.0884363548227123,22.4848621979894
"IS11119",9.38317081507946,2.57020716281909,8.46569605776554,29.9912928788689,40.5681105156178,42.5252470222369,0.107305490838671,22.7981483649124
"IS11758",9.42531829540275,2.16578992137544,8.58653166404654,28.267872302997,37.12425738774,42.6024641004603,0.14785821848919,34.5886357264175
"IS12110",10.6699836517492,2.50973097372446,9.01024086339211,29.1649573514876,40.2061780246916,42.6372809842459,0.097917970748682,29.338182008208
"IS12447",9.35840075193052,2.6816714880643,8.15177140512947,28.1025837178246,38.6785986784033,41.6044152904056,0.0996869994700887,24.3231985081063
"IS13452",10.3730401164193,2.24005856299786,8.98988171981962,28.2730744991475,39.6572603886644,42.6314663498151,0.0829535387533495,38.6430330188067
"IS13827",9.48925873896876,2.46560757956603,8.41640769761903,28.1361460943987,39.8475473128142,41.7638488010067,0.0980849771698105,29.2727972235937
"IS13845",8.47574927211848,2.95848760071618,7.72017766111484,26.1681931431059,38.6383710947269,40.2722680485224,0.116152592110163,23.8728271551494
"IS1398",9.14929180937294,2.32863972714659,8.41461108164098,27.6323680172128,38.5593536700896,42.6352883382761,0.155276130642815,36.4934440009405
"IS14276",10.7478730430955,2.44875818222545,8.74881986650467,28.3560325189597,38.6396756852941,42.5055451191931,0.102374976059935,43.8435548613001
"IS14298",9.37617409005594,2.87667042308896,8.19601616530676,28.5503642917412,39.5670984494567,42.0021794067181,0.117215224351586,27.4812113828939
"IS14414",9.04069910374442,2.51278623347316,8.06368892874827,27.3931866004884,39.1739222043542,41.4257246523576,0.139992661715075,20.2289973845011
"IS14556",10.2144552380678,2.47900891603468,8.77989146770377,28.4240793781529,39.9980057791519,42.0612475349753,0.0929515643435698,31.3915078049682
"IS14735",10.0728128144348,2.47584403227511,8.4810677913245,27.6730681263109,38.3188857269033,42.5967210288289,0.138855194529382,32.5410195537306
"IS14830",9.95698262562168,2.45021748821474,8.53211849267811,29.1888412309482,40.1077319506756,42.5182143894554,0.0910385212221558,27.120836275429
"IS14963",11.1910807399141,2.73009578929656,9.39453964991069,29.1075966872403,40.8548327617064,42.7395690196965,0.117572798503058,34.3698043421249
"IS15401",9.02403932718277,2.33070999485985,8.36420748043864,32.7789774200014,39.0648822052029,43.3985737927999,0.0640580642365346,26.1189058354003
"IS15443",10.4340484950711,2.51574672681704,9.03075112357722,28.6998220167314,39.8553293812498,42.5273531553409,0.118546351632203,31.5675491189807
"IS15526",11.3677676072324,2.6168088062533,9.13973650840876,31.2195360083998,41.0303399019302,42.8487158936212,0.133347312127823,42.513257443604
"IS15752",10.8260850584026,2.57479987684853,9.2394103193253,29.8447730759095,40.6534529446676,42.7681567068014,0.113962181343343,32.9373327210487
"IS16044",11.0180092359472,2.57170985936119,9.54486610001804,30.3434286121645,40.7015713969281,43.0735435284662,0.116417984159726,35.2771658322895
"IS16125",10.1836803658085,2.47478919849583,8.15841244769808,29.967124954589,39.0127270469633,42.3054136409162,0.0759328688204762,24.0743028535602
"IS16173",10.8538692612579,2.60880138119342,9.46237090926122,28.7028943936654,40.3047985139254,42.554502595384,0.110420559973163,32.8124043219038
"IS16186",9.93491920499526,2.41306714806307,8.71858256119355,28.7380298538783,39.7966167432057,42.9387274995449,0.0910070911238448,25.7604495792138
"IS16396",9.32773984894874,2.35129097146105,8.15949421991185,31.7537762055224,39.5626202368065,42.4646681344269,0.0681863200509837,24.0822810454302
"IS16545",11.0370101488743,2.44636182493526,9.47220098431388,30.4937366081369,39.9912613880627,42.8245326038494,0.104574568047294,37.2282406598949
