"Genotype","Epsib","Ict","MGR_init","plasto_init","phyllo_init","ligulo_init","leaf_length_to_IN_length","SLAp"
"BimbG",8.39116227798353,2.35373552436632,8.00812942659951,29.0169849175217,39.7886043117772,42.4279379446714,0.089810857601801,18.4182565953172
"CSM335",9.82074420371274,2.60461741838059,7.42200321368272,28.9062217610158,39.4498330563981,42.7142317616158,0.0889192701403195,20.0508551550779
"CSM388",9.41934587484147,2.60461741838059,8.1513880200793,28.9062217610158,39.4498330563981,42.5331076897105,0.0852570610038449,19.5535584415284
"CSM63E",8.26650368548275,2.49883683424628,8.40218458295505,28.268343830996,39.7830408269105,42.271446730826,0.123194938779881,25.9414735660041
"CSM660",8.94019951066952,2.54568205439866,8.52033618024813,28.952166323932,39.585648989105,42.5168329436691,0.0962543761157232,28.9092783569792
"Framida",12.9158944195441,2.49883683424628,9.15646561770122,27.7617720130132,39.7830408269105,42.271446730826,0.100939332955676,27.3628487699475
"Gnossiconi",9.25098617616575,2.54568205439866,8.13822712509375,28.952166323932,39.585648989105,42.5168329436691,0.0918491721944682,28.9092783569792
"Grinkan",10.5439571776222,2.5794381871292,8.73305713661625,29.02781626007,39.5701671174933,43.9470017989093,0.0830516588874095,28.3132823214696
"ICSV745",10.3617105501384,2.62932107778018,8.77266718415344,29.0169849175217,39.7886043117772,42.4279379446714,0.0927528235582436,33.4555897651452
"IRAT204",10.6731217616379,2.49883683424628,9.08680014108846,28.6343399337786,39.7830408269105,42.271446730826,0.0786824216943281,27.3628487699475
"IS10801",9.58926125788158,2.74733456807292,8.56825638813972,29.0169849175217,39.7886043117772,42.4279379446714,0.202906145200695,24.9683990111164
"IS10876",11.0948450036862,2.55645825855015,9.78210823510463,28.9062217610158,39.7894326672308,42.7142317616158,0.0914449294677187,29.5600108808446
"IS10882",10.4545204712637,2.48378956457403,8.71150869427908,28.1439559536218,39.5701671174933,42.5959551068622,0.0872314071937168,25.1292920557218
"IS11119",9.99435941941584,2.60461741838059,8.68351405086902,28.9062217610158,39.7894326672308,42.3104298009112,0.120289342159063,19.674831250051
"IS11758",10.3535572615924,2.54568205439866,8.70129770009131,28.952166323932,39.585648989105,42.5168329436691,0.106287180753917,29.1411649439707
"IS12110",10.5003331817276,2.5841631744506,9.54323447950808,29.2399672822965,39.5701671174933,41.5622382941821,0.103294014966077,30.6230670408134
"IS12447",9.58086352744684,2.84846181349029,7.91061095879929,28.2682541066541,39.5701671174933,41.8166416501037,0.106508403083305,29.7544967550389
"IS13452",10.0068572729046,2.49883683424628,8.96250543288371,28.5185675992518,39.7830408269105,42.271446730826,0.0619005772107728,25.9414735660041
"IS13827",9.43213630009829,2.49883683424628,8.24332084838103,28.268592425606,39.7830408269105,42.271446730826,0.084803869784759,27.3628487699475
"IS13845",9.14254424291678,2.56152359448734,8.06152485316621,29.0169849175217,39.7886043117772,42.4279379446714,0.0954346898975122,23.2673751552616
"IS1398",9.41485687237076,2.43594614937645,8.16080683354572,29.3206492947261,39.5701671174933,43.7705983215909,0.14227593006614,25.7275978200628
"IS14276",10.8368295165488,2.60461741838059,8.62397581697994,28.9062217610158,39.3060433659413,42.5072876801696,0.120326393641979,98.1690509919904
"IS14298",9.98268506135365,2.60461741838059,8.4957256098932,28.9062217610158,39.7894326672308,41.4922832828154,0.115133760359464,19.2916232575889
"IS14414",10.0733084059806,2.54568205439866,8.29015865494841,28.952166323932,39.585648989105,42.5168329436691,0.122761517114056,28.9092783569792
"IS14556",9.32501981011014,2.49883683424628,8.26455286806813,28.1866756526542,39.7830408269105,42.271446730826,0.0722845962834222,30.2071327259908
"IS14735",9.7609449814861,2.54568205439866,8.76016195730123,28.952166323932,39.585648989105,42.5168329436691,0.108536343403684,31.2445263250249
"IS14830",8.54724700006044,2.49883683424628,8.74455078290669,28.5689381925275,39.7830408269105,42.271446730826,0.094472848642682,25.9414735660041
"IS14963",10.3606752136576,2.49377356415687,9.62268035363008,30.0084722732128,39.5701671174933,43.2633108169383,0.124361944553365,28.1792891797346
"IS15401",9.03943422936439,2.54568205439866,8.26807883394955,29.7198776057407,39.585648989105,42.5168329436691,0.0907946911326544,28.9092783569792
"IS15443",11.267079818003,2.68039711812597,9.00506718885403,29.0169849175217,39.7886043117772,42.4279379446714,0.116060122772155,33.1920682797159
