"Genotype","Observed","Predicted"
"BimbG",280.6703697,325.173536468097
"CSM335",233.5020293,348.671174161539
"CSM388",162.3980118,348.671174161539
"CSM63E",193.3987477,353.249742018594
"CSM660",228.9345373,346.833188779426
"Framida",343.9433156,395.127074379038
"Gnossiconi",249.1288458,334.401197371668
"Grinkan",203.1325404,408.793510627727
"ICSV745",204.5540265,364.248204676907
"IRAT204",261.7679437,389.383257435668
"IS10801",238.2850844,370.010573187795
"IS10876",376.5089974,372.486226023606
"IS10882",338.036226,366.124012826793
"IS11119",344.6419005,348.692565653194
"IS11758",357.414652,374.707221912977
"IS12110",270.2124482,376.51714996444
"IS12447",230.370202,334.985093271193
"IS13452",449.8346357,370.073207761484
"IS13827",331.2685077,341.649492281175
"IS13845",153.9980379,338.850326723311
"IS1398",412.6434565,372.415358019686
"IS14276",239.9675581,360.419238258893
"IS14298",244.1026989,353.909528897784
"IS14414",277.8208188,334.352625862943
"IS14556",390.8589054,354.161927946497
"IS14735",290.910194,362.252112614538
"IS14830",269.1512446,346.748407359211
"IS14963",395.764448,393.852712829637
"IS15401",298.1978274,360.022091203913
"IS15443",484.3331291,389.952557273073
"IS15526",348.4778912,418.723709019598
"IS15752",352.9291296,392.299967503959
"IS16044",305.2629459,383.816731779796
"IS16125",217.2766172,334.974200671845
"IS16173",354.3958529,361.840513225383
"IS16186",194.6665885,364.489901520265
"IS16396",306.9170346,360.100776082081
"IS16545",364.5066895,408.145885541307
"IS19126",372.3525256,359.475297237941
"IS19132",303.829958,374.074636023633
"IS19418",256.0634527,366.550180674026
"IS19455",263.3510691,341.435080584616
"IS20205",270.9062423,343.756801182341
"IS20351",363.8663469,358.585658544828
"IS20387",226.2270381,347.529312534996
"IS21124",309.6081781,378.695457525845
"IS21425",321.0197643,340.975542158933
"IS21849",243.0384961,371.064951057116
"IS22282",271.2826314,348.671174161539
"IS22287",128.4761568,330.573792361146
"IS22291",199.4440437,362.946925483605
"IS22294",156.240388,331.430675917553
"IS22996",367.8926949,385.134146392857
"IS23033",232.1134881,371.486116429323
"IS23048",323.3403115,350.067307340091
"IS23053",304.3904854,391.991521853407
"IS23100",193.1166656,392.61919600491
"IS23142",233.9401741,348.935448456369
"IS23178",194.6815235,369.807140794421
"IS23254",264.1067732,324.615005330931
"IS23540",509.6445644,395.742746535739
"IS23601",326.3085419,374.687499704216
"IS23645",292.5135191,359.498123463817
"IS2367",306.2844956,352.509645422949
"IS24072",268.2642605,326.379480706956
"IS24083",406.0663526,361.840513225383
"IS24775",312.3619063,341.861793610154
"IS24786",192.8830977,382.023473547841
"IS24887",188.0966556,326.937378168227
"IS24913",263.9136289,360.697035228986
"IS24939",272.1960801,354.644566507047
"IS24940",251.6491553,340.131903660573
"IS24953",365.4046584,343.299635478411
"IS25207",151.1058023,361.840513225383
"IS25301",326.5018222,357.089727796947
"IS25442",291.1719133,378.995935384715
"IS25596",315.9110994,353.946781952581
"IS25702",436.1307003,384.4401185621
"IS25836",265.7781352,355.415052690735
"IS25916",284.8967088,353.340313312263
"IS26110",163.1371389,318.245307603914
"IS26735",387.0974641,368.17065120374
"IS27599",384.2297819,372.809703224355
"IS2787",294.4612071,405.731717852103
"IS2834",356.9484275,347.271290686704
"IS2873",236.9883334,384.355071210623
"IS29870",230.185299,342.788559525341
"IS29977",375.804454,387.389013599886
"IS30175",162.2746805,350.999655526861
"IS30207",233.8108918,355.837364334153
"IS30619",451.7175445,367.788351191099
"IS30898",248.6839795,361.840513225383
"IS31123",176.3809388,356.008129010327
"IS31195",181.8837993,353.909528897784
"IS31202",170.6985998,348.830478281234
"IS31299",348.8906017,344.042186159401
"IS3147",281.8383923,348.671174161539
"IS31559",340.2432818,347.045038976778
"IS32569",311.2181663,381.565788394344
"IS32986",246.6168865,331.272155503329
"IS33178",177.1560336,359.995331377927
"IS33209",352.8854525,372.9654267748
"IS33261",181.1163363,340.72405553235
"IS33353",183.2968333,353.685068569776
"IS33423",390.4480004,355.330803864274
"IS3443",321.2151777,395.38601840864
"IS3507",321.3307573,361.840513225383
"IS3583",350.668278,366.579753043638
"IS36633",388.34561,367.5134338504
"IS41724",200.7453188,353.453262261219
"IS6723",261.5057326,348.671174161539
"IS6928",377.1108973,372.486226023606
"IS7277",245.1503302,349.41938892196
"IS7314",304.3550213,376.851940092031
"IS7463",256.1388386,366.89506577997
"IS7861",155.2357803,349.447749975312
"IS7889",287.467036,328.130551403832
"IS7958",236.0837256,358.36663179764
"IS8218",294.5411008,388.627495509282
"IS8283",185.4036054,368.617861763292
"IS8685",177.717914,370.397821454343
"IS8882",228.3055264,344.373573694173
"IS929",431.9609232,373.82679219377
"IS9468",168.500591,348.671174161539
"IS9586",283.1220476,353.798910858996
"IS9713",408.8543541,349.18510243202
"IS9883",367.3865257,383.47272219804
"IS9911",275.3923791,385.506798286593
"Kalaban",248.2704723,398.63377592854
"Keninkeni",145.780643,343.493439226371
"Lata3",267.0192385,376.632609716699
"Ribdahu",335.7608879,379.635829873108
"ShortKaura",236.1508179,339.984985281897
"Soumba",403.2634814,391.400636899482
"SSM547",227.5044358,351.713121632638
"Tiandougou",223.3043413,369.979134655581
